season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2024,REG,DET,1,00-0032424,DT,D.J. Reader,D.J.,Reader,Quadricep,,Questionable,Quadricep,,Limited Participation in Practice,2024-09-06T19:42:48Z
2024,REG,GB,1,00-0039850,LB,Edgerrin Cooper,Edgerrin,Cooper,,,,Hip,,Full Participation in Practice,2024-09-05T18:52:55Z
2024,REG,GB,1,00-0037816,WR,Romeo Doubs,Romeo,Doubs,,,,Hand,,Full Participation in Practice,2024-09-05T18:53:08Z
2024,REG,GB,1,00-0038408,CB,Carrington Valentine,Carrington,Valentine,,,,Hamstring,,Full Participation in Practice,2024-09-05T18:53:27Z
2024,REG,GB,1,00-0037364,DE,Arron Mosby,Arron,Mosby,Not injury related - personal matter,,Out,Did not travel to Brazil due to a personal matter and will not play in the game.,,Note,2024-09-05T19:00:32Z
2024,REG,GB,1,00-0038996,TE,Tucker Kraft,Tucker,Kraft,Back,,Questionable,Back,,Limited Participation in Practice,2024-09-05T18:54:59Z
2024,REG,GB,1,00-0039811,RB,MarShawn Lloyd,MarShawn,Lloyd,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2024-09-05T18:54:59Z
2024,REG,GB,1,00-0038797,RB,Emanuel Wilson,Emanuel,Wilson,Hip,,Questionable,Hip,,Limited Participation in Practice,2024-09-05T18:54:59Z
2024,REG,HOU,1,00-0036274,CB,Jeff Okudah,Jeff,Okudah,Hip,,Out,,,"
    ",2024-09-08T19:48:29Z
2024,REG,HOU,1,00-0034355,S,M.J. Stewart,M.J.,Stewart,Knee,,Out,Knee,,Did Not Participate In Practice,2024-09-06T19:07:00Z
2024,REG,IND,1,00-0038997,WR,Josh Downs,Josh,Downs,Ankle,,Out,Ankle,,Did Not Participate In Practice,2024-09-06T14:34:00Z
2024,REG,IND,1,00-0035269,K,Matt Gay,Matt,Gay,Hernia,,Questionable,Hernia,,Did Not Participate In Practice,2024-09-06T16:38:36Z
2024,REG,JAX,1,00-0032164,DE,Arik Armstead,Arik,Armstead,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-06T19:11:06Z
2024,REG,JAX,1,00-0036974,CB,Tyson Campbell,Tyson,Campbell,Hamstring,,Questionable,,,"
    ",2024-09-08T19:46:54Z
2024,REG,JAX,1,00-0036306,S,Daniel Thomas,Daniel,Thomas,Achilles,,Questionable,Achilles,,Limited Participation in Practice,2024-09-06T19:11:37Z
2024,REG,KC,1,00-0036621,LB,Nick Bolton,Nick,Bolton,,,,Elbow,,Full Participation in Practice,2024-09-04T15:55:06Z
2024,REG,KC,1,00-0037198,"
    ",Nazeeh Johnson,Nazeeh,Johnson,,,,Hamstring,,Full Participation in Practice,2024-09-04T15:55:06Z
2024,REG,KC,1,00-0032762,DT,Chris Jones,Chris,Jones,,,,Shoulder,,Full Participation in Practice,2024-09-04T15:55:06Z
2024,REG,KC,1,00-0038981,T,Wanya Morris,Wanya,Morris,,,,Knee,,Full Participation in Practice,2024-09-04T15:55:06Z
2024,REG,KC,1,00-0034818,DT,Derrick Nnadi,Derrick,Nnadi,,,,Triceps,,Full Participation in Practice,2024-09-04T15:55:06Z
2024,REG,KC,1,00-0032391,G,Joe Thuney,Joe,Thuney,,,,Pectoral,,Full Participation in Practice,2024-09-04T15:55:06Z
2024,REG,KC,1,00-0038043,CB,Joshua Williams,Joshua,Williams,,,,Hamstring,,Full Participation in Practice,2024-09-04T15:55:06Z
2024,REG,KC,1,00-0030615,LS,James Winchester,James,Winchester,,,,Shoulder,,Full Participation in Practice,2024-09-04T15:55:06Z
2024,REG,KC,1,00-0035662,WR,Marquise Brown,Marquise,Brown,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2024-09-04T15:55:52Z
2024,REG,LA,1,00-0033884,CB,Tre'Davious White,Tre'Davious,White,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-06T20:30:05Z
2024,REG,LA,1,00-0036258,G,Jonah Jackson,Jonah,Jackson,,,,Shoulder,,Full Participation in Practice,2024-09-06T18:54:41Z
2024,REG,LA,1,00-0034203,CB,Darious Williams,Darious,Williams,,,,Hamstring,,Limited Participation in Practice,2024-09-04T23:24:23Z
2024,REG,LA,1,00-0039058,G,Steve Avila,Steve,Avila,Knee,,Out,,,"
    ",2024-09-09T01:54:53Z
2024,REG,LA,1,00-0039075,WR,Puka Nacua,Puka,Nacua,Knee,,Out,Knee,,Full Participation in Practice,2024-09-09T01:54:31Z
2024,REG,LA,1,00-0034803,T,Joseph Noteboom,Joseph,Noteboom,Ankle,,Questionable,,,"
    ",2024-09-09T01:16:46Z
2024,REG,LA,1,00-0037839,CB,Cobie Durant,Cobie,Durant,Cramps,,Questionable,Hamstring,,Full Participation in Practice,2024-09-09T02:28:49Z
2024,REG,LA,1,00-0032242,T,Rob Havenstein,Rob,Havenstein,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2024-09-06T19:00:08Z
2024,REG,LAC,1,00-0036355,QB,Justin Herbert,Justin,Herbert,,,,Foot,,Full Participation in Practice,2024-09-06T21:17:58Z
2024,REG,LAC,1,00-0036988,WR,Josh Palmer,Josh,Palmer,,,,Knee,,Full Participation in Practice,2024-09-06T21:17:58Z
2024,REG,LAC,1,00-0034777,WR,D.J. Chark,D.J.,Chark,Hip,,Out,Hip,,Did Not Participate In Practice,2024-09-06T21:19:03Z
2024,REG,LAC,1,00-0039366,CB,Tarheeb Still,Tarheeb,Still,Hip,,Questionable,Hip,,Full Participation in Practice,2024-09-06T21:18:55Z
2024,REG,LAC,1,00-0036617,CB,Asante Samuel,Asante,Samuel,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2024-09-06T21:18:55Z
2024,REG,LV,1,00-0035757,LS,Jacob Bobenmoyer,Jacob,Bobenmoyer,,,,Abdomen,,Full Participation in Practice,2024-09-06T21:18:40Z
2024,REG,LV,1,00-0039338,TE,Brock Bowers,Brock,Bowers,,,,Foot,,Full Participation in Practice,2024-09-06T21:18:51Z
2024,REG,LV,1,00-0034759,T,Kolton Miller,Kolton,Miller,,,,Shoulder,,Full Participation in Practice,2024-09-06T21:18:40Z
2024,REG,LV,1,00-0034720,LB,Robert Spillane,Robert,Spillane,,,,Back,,Full Participation in Practice,2024-09-06T21:18:40Z
2024,REG,LV,1,00-0036989,DE,Malcolm Koonce,Malcolm,Koonce,Knee,,Out,Knee,,Did Not Participate In Practice,2024-09-06T21:20:19Z
2024,REG,LV,1,00-0039735,G,Jackson Powers-Johnson,Jackson,Powers-Johnson,Illness,,Out,Illness,,Did Not Participate In Practice,2024-09-06T21:21:39Z
2024,REG,LV,1,00-0039357,CB,Decamerion Richardson,Decamerion,Richardson,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2024-09-06T21:21:46Z
2024,REG,LV,1,00-0038541,DE,Tyree Wilson,Tyree,Wilson,Knee,,Out,Foot,,Full Participation in Practice,2024-09-08T21:41:43Z
2024,REG,LV,1,00-0039374,LB,Tommy Eichenberg,Tommy,Eichenberg,Knee,,Questionable,Knee,,Limited Participation in Practice,2024-09-06T21:20:13Z
2024,REG,MIA,1,00-0030067,T,Terron Armstead,Terron,Armstead,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-04T19:07:56Z
2024,REG,MIA,1,00-0026190,DE,Calais Campbell,Calais,Campbell,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-04T19:08:21Z
2024,REG,MIA,1,00-0035000,LB,Quinton Bell,Quinton,Bell,,,,Thumb,,Full Participation in Practice,2024-09-06T19:44:36Z
2024,REG,MIA,1,00-0036171,G,Aaron Brewer,Aaron,Brewer,,,,Hand,,Full Participation in Practice,2024-09-06T19:44:57Z
2024,REG,MIA,1,00-0036998,S,Jevon Holland,Jevon,Holland,,,,Ankle,,Full Participation in Practice,2024-09-06T19:44:36Z
2024,REG,MIA,1,00-0035841,DT,Benito Jones,Benito,Jones,,,,Knee,,Full Participation in Practice,2024-09-06T19:44:50Z
2024,REG,MIA,1,00-0036934,LB,Jaelan Phillips,Jaelan,Phillips,,,,Achilles,Not injury related - resting p,Full Participation in Practice,2024-09-06T19:44:36Z
2024,REG,MIA,1,00-0030114,S,Jordan Poyer,Jordan,Poyer,,,,Thumb,Not injury related - resting p,Full Participation in Practice,2024-09-06T19:44:36Z
2024,REG,MIA,1,00-0033570,LB,Anthony Walker,Anthony,Walker,,,,Knee,Not injury related - resting p,Full Participation in Practice,2024-09-06T19:44:36Z
2024,REG,MIA,1,00-0033084,CB,Kendall Fuller,Kendall,Fuller,,,,Not injury related - resting player,,Limited Participation in Practice,2024-09-04T20:38:36Z
2024,REG,MIA,1,00-0039880,WR,Malik Washington,Malik,Washington,Quadricep,,Out,Quadricep,,Did Not Participate In Practice,2024-09-06T19:45:40Z
2024,REG,MIA,1,00-0036613,WR,Jaylen Waddle,Jaylen,Waddle,gameday concussion protocol evaluation,,Questionable,,,"
    ",2024-09-08T18:40:19Z
2024,REG,MIA,1,00-0035292,LB,David Long,David,Long,Hand,,Questionable,Not injury related - resting player,,Limited Participation in Practice,2024-09-08T19:51:20Z
2024,REG,MIA,1,00-0033055,CB,Jalen Ramsey,Jalen,Ramsey,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2024-09-06T19:46:23Z
2024,REG,MIN,1,00-0029542,CB,Stephon Gilmore,Stephon,Gilmore,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-06T19:01:38Z
2024,REG,MIN,1,00-0029606,"
    ",Harrison Smith,Harrison,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-06T19:01:54Z
2024,REG,MIN,1,00-0037291,WR,Jalen Nailor,Jalen,Nailor,,,,Ankle,,Full Participation in Practice,2024-09-06T19:00:54Z
2024,REG,MIN,1,00-0038994,WR,Jordan Addison,Jordan,Addison,Ankle,,Out,Ankle,,Full Participation in Practice,2024-09-08T18:52:52Z
2024,REG,NE,1,00-0036813,LB,Christian Elliss,Christian,Elliss,,,,Concussion,,Full Participation in Practice,2024-09-04T20:06:59Z
2024,REG,NE,1,00-0033090,TE,Hunter Henry,Hunter,Henry,,,,Foot,,Full Participation in Practice,2024-09-06T18:55:29Z
2024,REG,NE,1,00-0036193,LB,Anfernee Jennings,Anfernee,Jennings,,,,Wrist,,Full Participation in Practice,2024-09-06T18:55:29Z
2024,REG,NE,1,00-0032580,CB,Jonathan Jones,Jonathan,Jones,,,,Hamstring,,Full Participation in Practice,2024-09-06T18:55:29Z
2024,REG,NE,1,00-0033947,DE,Deatrich Wise,Deatrich,Wise,,,,Hamstring,,Full Participation in Practice,2024-09-06T18:55:29Z
2024,REG,NE,1,00-0035708,LB,Oshane Ximines,Oshane,Ximines,,,,Ankle,,Full Participation in Practice,2024-09-06T18:55:29Z
2024,REG,NE,1,00-0038569,G,Sidy Sow,Sidy,Sow,Ankle,,Out,Ankle,,Did Not Participate In Practice,2024-09-06T18:57:33Z
2024,REG,NE,1,00-0033883,S,Jabrill Peppers,Jabrill,Peppers,Hip,,Questionable,,,"
    ",2024-09-07T15:13:14Z
2024,REG,NE,1,00-0036159,LB,Joshua Uche,Joshua,Uche,Foot,,Questionable,Foot,,Full Participation in Practice,2024-09-06T18:59:16Z
2024,REG,NE,1,00-0036328,RB,Antonio Gibson,Antonio,Gibson,Hip,,Questionable,Hip,,Limited Participation in Practice,2024-09-06T18:57:08Z
2024,REG,NE,1,00-0037287,T,Vederian Lowe,Vederian,Lowe,Abdomen,,Questionable,Abdomen,,Limited Participation in Practice,2024-09-06T18:57:08Z
2024,REG,NO,1,00-0036927,LB,Pete Werner,Pete,Werner,,,,Shoulder,,Full Participation in Practice,2024-09-06T19:02:20Z
2024,REG,NO,1,00-0034981,TE,Foster Moreau,Foster,Moreau,Head,,Out,,,"
    ",2024-09-08T20:01:56Z
2024,REG,NO,1,00-0033082,G,Lucas Patrick,Lucas,Patrick,Toe,,Out,,,"
    ",2024-09-08T18:51:07Z
2024,REG,NO,1,00-0039388,LB,Jaylan Ford,Jaylan,Ford,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2024-09-06T19:02:56Z
2024,REG,NO,1,00-0039613,TE,Dallin Holker,Dallin,Holker,Ankle,,Out,Ankle,,Did Not Participate In Practice,2024-09-06T19:03:05Z
2024,REG,NO,1,00-0037271,LB,D'Marco Jackson,D'Marco,Jackson,Calf,,Out,Calf,,Did Not Participate In Practice,2024-09-06T19:03:14Z
2024,REG,NO,1,00-0035656,DT,Khalen Saunders,Khalen,Saunders,Calf,,Out,Calf,,Did Not Participate In Practice,2024-09-06T19:03:21Z
2024,REG,NO,1,00-0038612,WR,A.T. Perry,A.T.,Perry,Hand,,Questionable,Hand,,Did Not Participate In Practice,2024-09-06T19:02:29Z
2024,REG,NO,1,00-0033874,CB,Marshon Lattimore,Marshon,Lattimore,Hamstring,,Questionable,Hip,,Full Participation in Practice,2024-09-08T19:17:27Z
2024,REG,NO,1,00-0036362,LB,Willie Gay,Willie,Gay,Back,,Questionable,Back,,Limited Participation in Practice,2024-09-06T19:02:29Z
2024,REG,NO,1,00-0038566,G,Nick Saldiveri,Nick,Saldiveri,Calf,,Questionable,Calf,,Limited Participation in Practice,2024-09-06T19:02:29Z
2024,REG,NYG,1,00-0038123,S,Dane Belton,Dane,Belton,,,,Back,,Limited Participation in Practice,2024-09-06T18:41:10Z
2024,REG,NYG,1,00-0035713,LB,Brian Burns,Brian,Burns,,,,Ankle,,Limited Participation in Practice,2024-09-06T18:41:33Z
2024,REG,NYG,1,00-0035704,QB,Drew Lock,Drew,Lock,,,,Abdomen,,Limited Participation in Practice,2024-09-06T18:41:10Z
2024,REG,NYG,1,00-0037259,LB,Micah McFadden,Micah,McFadden,,,,Groin,,Limited Participation in Practice,2024-09-06T18:41:10Z
2024,REG,NYG,1,00-0036402,LB,Carter Coughlin,Carter,Coughlin,Pectoral,,Out,,,"
    ",2024-09-08T18:34:55Z
2024,REG,NYG,1,00-0035645,WR,Gunner Olszewski,Gunner,Olszewski,Groin,,Out,Groin,,Limited Participation in Practice,2024-09-08T16:45:45Z
2024,REG,NYG,1,00-0036589,CB,Nick McCloud,Nick,McCloud,Knee,,Questionable,,,"
    ",2024-09-08T18:53:14Z
2024,REG,NYJ,1,00-0038401,CB,Jarrick Bernard-Converse,Jarrick,Bernard-Converse,,,,Groin,,Full Participation in Practice,2024-09-07T18:34:31Z
2024,REG,NYJ,1,00-0038114,T,Max Mitchell,Max,Mitchell,,,,Shoulder,,Full Participation in Practice,2024-09-07T18:34:31Z
2024,REG,NYJ,1,00-0037601,G,Xavier Newman-Johnson,Xavier,Newman-Johnson,,,,Shoulder,,Full Participation in Practice,2024-09-07T18:34:31Z
2024,REG,NYJ,1,00-0027947,T,Tyron Smith,Tyron,Smith,,,,Not injury related - resting player,,Full Participation in Practice,2024-09-07T18:34:31Z
2024,REG,NYJ,1,00-0033536,WR,Mike Williams,Mike,Williams,,,,Knee,,Full Participation in Practice,2024-09-07T18:34:31Z
2024,REG,NYJ,1,00-0031296,LB,C.J. Mosley,C.J.,Mosley,Wrist - Cleared to return.,,Note,,,"
    ",2024-09-10T01:21:53Z
2024,REG,NYJ,1,00-0038399,LB,Zaire Barnes,Zaire,Barnes,Ankle,,Out,Ankle,,Did Not Participate In Practice,2024-09-07T18:35:15Z
2024,REG,NYJ,1,00-0032432,G,Wes Schweitzer,Wes,Schweitzer,Hand,,Out,Hand,,Did Not Participate In Practice,2024-09-07T18:35:22Z
2024,REG,NYJ,1,00-0036501,CB,Michael Carter,Michael,Carter,Ankle,,Questionable,,,"
    ",2024-09-10T02:45:31Z
2024,REG,PHI,1,00-0035676,WR,A.J. Brown,A.J.,Brown,,,,Not injury related - resting player,,Full Participation in Practice,2024-09-05T19:21:06Z
2024,REG,PHI,1,00-0037002,G,Landon Dickerson,Landon,Dickerson,,,,Not injury related - resting player,,Full Participation in Practice,2024-09-05T19:21:06Z
2024,REG,PHI,1,00-0035707,LB,Devin White,Devin,White,Ankle,,Out,Ankle,,Did Not Participate In Practice,2024-09-04T12:55:19Z
2024,REG,PHI,1,00-0036222,CB,Isaiah Rodgers,Isaiah,Rodgers,Hand,,Out,Hand,,Limited Participation in Practice,2024-09-05T19:22:30Z
2024,REG,PIT,1,00-0039871,T,Troy Fautanu,Troy,Fautanu,,,,Knee,,Full Participation in Practice,2024-09-06T19:22:17Z
2024,REG,PIT,1,00-0038639,CB,Cory Trice,Cory,Trice,,,,Groin,,Full Participation in Practice,2024-09-06T19:22:17Z
2024,REG,PIT,1,00-0037228,RB,Jaylen Warren,Jaylen,Warren,,,,Hamstring,,Full Participation in Practice,2024-09-06T19:22:17Z
